window,capacity,throughput,queue_delay,signal_delay,url
10,5.04,1.84,55,155,http://cs344g.keithw.org/report?bg-1493188533-mataiphu
,5.04,1.83,56,152,http://cs344g.keithw.org/report?bg-1493188675-geigoohe
,5.04,1.85,56,152,http://cs344g.keithw.org/report?bg-1493188818-chohgive
20,5.04,3.08,97,273,http://cs344g.keithw.org/report?bg-1493194597-eekahohd
,5.04,3.04,97,274,http://cs344g.keithw.org/report?bg-1493194740-oishaegh
,5.04,3.1,97,275,http://cs344g.keithw.org/report?bg-1493194883-gojainoo
30,5.04,3.76,141,397,http://cs344g.keithw.org/report?bg-1493190926-ohthiuzo
,5.04,3.92,142,397,http://cs344g.keithw.org/report?bg-1493191070-uidiengi
,5.04,3.83,142,396,http://cs344g.keithw.org/report?bg-1493191213-shoreiwi
40,5.04,4.44,189,501,http://cs344g.keithw.org/report?bg-1493191355-eifaigie
,5.04,4.45,191,500,http://cs344g.keithw.org/report?bg-1493191501-ietahsaa
,5.04,4.26,190,498,http://cs344g.keithw.org/report?bg-1493191644-aongaeph
50,5.04,4.46,238,598,http://cs344g.keithw.org/report?bg-1493191787-thuxaech
,5.04,4.5,238,597,http://cs344g.keithw.org/report?bg-1493191930-oohuoyee
,5.04,4.62,240,597,http://cs344g.keithw.org/report?bg-1493192073-hoirohqu
60,5.04,4.84,287,703,http://cs344g.keithw.org/report?bg-1493192216-haifeewe
,5.04,4.89,290,712,http://cs344g.keithw.org/report?bg-1493192360-cohgeeth
,5.04,4.72,289,708,http://cs344g.keithw.org/report?bg-1493192503-ooyeirua
70,5.04,4.88,344,805,http://cs344g.keithw.org/report?bg-1493192646-quaiteev
,5.04,4.92,346,807,http://cs344g.keithw.org/report?bg-1493192789-zeethiph
,5.04,4.94,346,806,http://cs344g.keithw.org/report?bg-1493192932-alaagaib
80,5.04,4.98,401,891,http://cs344g.keithw.org/report?bg-1493193075-oohopaev
,5.04,4.93,394,885,http://cs344g.keithw.org/report?bg-1493193218-geelotii
,5.04,4.92,396,890,http://cs344g.keithw.org/report?bg-1493193362-nighoopo
90,5.04,4.95,458,970,http://cs344g.keithw.org/report?bg-1493193505-jaejiera
,5.04,5.0,456,974,http://cs344g.keithw.org/report?bg-1493193648-lahdeebi
,5.04,5.0,457,973,http://cs344g.keithw.org/report?bg-1493193791-ohsiehua
100,5.04,5.01,514,1053,http://cs344g.keithw.org/report?bg-1493193934-aegheemo
,5.04,5.02,514,1053,http://cs344g.keithw.org/report?bg-1493194077-aighukee
,5.04,5.01,514,1053,http://cs344g.keithw.org/report?bg-1493194220-gaefohng
